"namespace","term","iri","label","label_ja","type","status","replaced_by","use_at_bio_database"
"ac","fundingAttribution","http://rs.tdwg.org/ac/terms/fundingAttribution","Funding Attribution","資金帰属","Property","valid","","true"
"ac","Media","http://rs.tdwg.org/ac/terms/Media","Media Entity","メディア","Class","valid","","false"
"dc","language","http://purl.org/dc/elements/1.1/language","Language","言語","Property","valid","","true"
"dc","type","http://purl.org/dc/elements/1.1/type","Type","タイプ","Property","valid","","true"
"dcterms","accessRights","http://purl.org/dc/terms/accessRights","Access Rights","アクセス権利","Property","valid","","true"
"dcterms","Agent","http://purl.org/dc/terms/Agent","Agent","行為者","Class","valid","","false"
"dcterms","bibliographicCitation","http://purl.org/dc/terms/bibliographicCitation","Bibliographic Citation","書誌引用","Property","valid","","true"
"dcterms","BibliographicResource","http://purl.org/dc/terms/BibliographicResource","Bibliographic Resource","書誌リソース","Class","valid","","false"
"dcterms","language","http://purl.org/dc/terms/language","Language","言語","Property","valid","","true"
"dcterms","license","http://purl.org/dc/terms/license","License","ライセンス","Property","valid","","true"
"dcterms","Location","http://purl.org/dc/terms/Location","Location","地点","Class","valid","","true"
"dcterms","modified","http://purl.org/dc/terms/modified","Date Modified","更新","Property","valid","","true"
"dcterms","references","http://purl.org/dc/terms/references","References","参照","Property","valid","","true"
"dcterms","rights","http://purl.org/dc/terms/rights","Rights","","Property","invalid","http://purl.org/dc/terms/license","false"
"dcterms","rightsHolder","http://purl.org/dc/terms/rightsHolder","Rights Holder","権利保有者","Property","valid","","true"
"dcterms","type","http://purl.org/dc/terms/type","Type","","Property","invalid","http://purl.org/dc/elements/1.1/type","false"
"dwc","acceptedNameUsage","http://rs.tdwg.org/dwc/terms/acceptedNameUsage","Accepted Name Usage","採用名","Property","valid","","true"
"dwc","acceptedNameUsageID","http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","Accepted Name Usage ID","採用分類群ID","Property","valid","","true"
"dwc","acceptedScientificName","http://rs.tdwg.org/dwc/terms/acceptedScientificName","Accepted Scientific Name","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedNameUsage","false"
"dwc","acceptedScientificNameID","http://rs.tdwg.org/dwc/terms/acceptedScientificNameID","Accepted Scientific Name ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedTaxonID","false"
"dwc","AcceptedTaxon","http://rs.tdwg.org/dwc/terms/AcceptedTaxon","Accepted Taxon","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedTaxonName","false"
"dwc","acceptedTaxonID","http://rs.tdwg.org/dwc/terms/acceptedTaxonID","Accepted Taxon ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedNameUsageID","false"
"dwc","AcceptedTaxonID","http://rs.tdwg.org/dwc/terms/AcceptedTaxonID","Accepted Taxon ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID","false"
"dwc","acceptedTaxonName","http://rs.tdwg.org/dwc/terms/acceptedTaxonName","Accepted Taxon Name","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedScientificName","false"
"dwc","acceptedTaxonNameID","http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID","Accepted Taxon Name ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/acceptedScientificNameID","false"
"dwc","AccessConstraints","http://rs.tdwg.org/dwc/terms/AccessConstraints","Access Constraints","","Property","invalid","http://purl.org/dc/terms/accessRights","false"
"dwc","accordingTo","http://rs.tdwg.org/dwc/terms/accordingTo","According To","","Property","invalid","","false"
"dwc","accuracy","http://rs.tdwg.org/dwc/terms/accuracy","Accuracy","","Property","invalid","","false"
"dwc","agentID","http://rs.tdwg.org/dwc/terms/agentID","Agent ID","行為者識別子","Property","valid","","true"
"dwc","agentRemarks","http://rs.tdwg.org/dwc/terms/agentRemarks","Agent Remarks","行為者注記","Property","valid","","true"
"dwc","agentRoleOrder","http://rs.tdwg.org/dwc/terms/agentRoleOrder","Agent Role Order","行為者役割順","Property","valid","","true"
"dwc","agentType","http://rs.tdwg.org/dwc/terms/agentType","Agent Type","行為者種別","Property","valid","","true"
"dwc","assayType","http://rs.tdwg.org/dwc/terms/assayType","Assay Type","アッセイ種別","Property","valid","","false"
"dwc","Assertion","http://rs.tdwg.org/dwc/terms/Assertion","Assertion","主張","Class","valid","","false"
"dwc","assertionBy","http://rs.tdwg.org/dwc/terms/assertionBy","Assertion By","主張作成者","Property","valid","","false"
"dwc","assertionEffectiveDate","http://rs.tdwg.org/dwc/terms/assertionEffectiveDate","Assertion Effective Date","主張有効日","Property","valid","","false"
"dwc","assertionError","http://rs.tdwg.org/dwc/terms/assertionError","Assertion Error","主張の誤差","Property","valid","","false"
"dwc","assertionID","http://rs.tdwg.org/dwc/terms/assertionID","Assertion ID","主張識別子","Property","valid","","false"
"dwc","assertionMadeDate","http://rs.tdwg.org/dwc/terms/assertionMadeDate","Assertion Made Date","主張作成日","Property","valid","","false"
"dwc","assertionProtocols","http://rs.tdwg.org/dwc/terms/assertionProtocols","Assertion Protocols","主張手順","Property","valid","","false"
"dwc","assertionReferences","http://rs.tdwg.org/dwc/terms/assertionReferences","Assertion References","主張の参照先","Property","valid","","false"
"dwc","assertionRemarks","http://rs.tdwg.org/dwc/terms/assertionRemarks","Assertion Remarks","主張注記","Property","valid","","false"
"dwc","assertionType","http://rs.tdwg.org/dwc/terms/assertionType","Assertion Type","主張種別","Property","valid","","false"
"dwc","assertionUnit","http://rs.tdwg.org/dwc/terms/assertionUnit","Assertion Unit","主張単位","Property","valid","","false"
"dwc","assertionValue","http://rs.tdwg.org/dwc/terms/assertionValue","Assertion Value","主張値","Property","valid","","false"
"dwc","associatedMedia","http://rs.tdwg.org/dwc/terms/associatedMedia","Associated Media","関連メディア","Property","valid","","true"
"dwc","associatedOccurrences","http://rs.tdwg.org/dwc/terms/associatedOccurrences","Associated Occurrences","関連オカレンス","Property","valid","","true"
"dwc","associatedOrganisms","http://rs.tdwg.org/dwc/terms/associatedOrganisms","Associated Organisms","関連生物個体","Property","valid","","false"
"dwc","associatedReferences","http://rs.tdwg.org/dwc/terms/associatedReferences","Associated References","関連文献","Property","valid","","true"
"dwc","associatedSequences","http://rs.tdwg.org/dwc/terms/associatedSequences","Associated Sequences","関連配列","Property","valid","","true"
"dwc","associatedTaxa","http://rs.tdwg.org/dwc/terms/associatedTaxa","Associated Taxa","関連分類群","Property","valid","","true"
"dwc","basionym","http://rs.tdwg.org/dwc/terms/basionym","Basionym","","Property","invalid","http://rs.tdwg.org/dwc/terms/originalNameUsage","false"
"dwc","basionymID","http://rs.tdwg.org/dwc/terms/basionymID","Basionym ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/originalNameUsageID","false"
"dwc","basisOfRecord","http://rs.tdwg.org/dwc/terms/basisOfRecord","Basis Of Record","記録根拠","Property","valid","","true"
"dwc","bed","http://rs.tdwg.org/dwc/terms/bed","Bed","層","Property","valid","","true"
"dwc","behavior","http://rs.tdwg.org/dwc/terms/behavior","Behavior","行動","Property","valid","","true"
"dwc","binomial","http://rs.tdwg.org/dwc/terms/binomial","Binomial","","Property","invalid","","false"
"dwc","caste","http://rs.tdwg.org/dwc/terms/caste","Caste","カースト","Property","valid","","true"
"dwc","catalogNumber","http://rs.tdwg.org/dwc/terms/catalogNumber","Catalog Number","目録番号","Property","valid","","true"
"dwc","CatalogNumberNumeric","http://rs.tdwg.org/dwc/terms/CatalogNumberNumeric","Catalog Number Numeric","","Property","invalid","","false"
"dwc","causeOfDeath","http://rs.tdwg.org/dwc/terms/causeOfDeath","Cause Of Death","原因の死亡","Property","valid","","true"
"dwc","class","http://rs.tdwg.org/dwc/terms/class","Class","綱","Property","valid","","true"
"dwc","collectionCode","http://rs.tdwg.org/dwc/terms/collectionCode","Collection Code","コレクションコード","Property","valid","","true"
"dwc","collectionID","http://rs.tdwg.org/dwc/terms/collectionID","Collection ID","コレクション識別子","Property","valid","","true"
"dwc","continent","http://rs.tdwg.org/dwc/terms/continent","Continent","大陸","Property","valid","","true"
"dwc","coordinatePrecision","http://rs.tdwg.org/dwc/terms/coordinatePrecision","Coordinate Precision","座標精度","Property","valid","","true"
"dwc","coordinateUncertaintyInMeters","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters","Coordinate Uncertainty In Meters","座標不確かさ（メートル）","Property","valid","","true"
"dwc","country","http://rs.tdwg.org/dwc/terms/country","Country","国","Property","valid","","true"
"dwc","countryCode","http://rs.tdwg.org/dwc/terms/countryCode","Country Code","国コード","Property","valid","","true"
"dwc","county","http://rs.tdwg.org/dwc/terms/county","Second Order Division","郡","Property","valid","","true"
"dwc","cultivarEpithet","http://rs.tdwg.org/dwc/terms/cultivarEpithet","Cultivar Epithet","栽培品種種小名","Property","valid","","true"
"dwc","dataGeneralizations","http://rs.tdwg.org/dwc/terms/dataGeneralizations","Data Generalizations","データ一般化","Property","valid","","true"
"dwc","Dataset","http://rs.tdwg.org/dwc/terms/Dataset","Dataset","","Class","invalid","","false"
"dwc","datasetID","http://rs.tdwg.org/dwc/terms/datasetID","Dataset ID","データセット識別子","Property","valid","","true"
"dwc","datasetName","http://rs.tdwg.org/dwc/terms/datasetName","Dataset Name","データセット名","Property","valid","","true"
"dwc","dateIdentified","http://rs.tdwg.org/dwc/terms/dateIdentified","Date Identified","同定日","Property","valid","","true"
"dwc","day","http://rs.tdwg.org/dwc/terms/day","Day","日","Property","valid","","true"
"dwc","decimalLatitude","http://rs.tdwg.org/dwc/terms/decimalLatitude","Decimal Latitude","十進緯度","Property","valid","","true"
"dwc","decimalLongitude","http://rs.tdwg.org/dwc/terms/decimalLongitude","Decimal Longitude","十進経度","Property","valid","","true"
"dwc","degreeOfEstablishment","http://rs.tdwg.org/dwc/terms/degreeOfEstablishment","Degree of Establishment","定着程度","Property","valid","","true"
"dwc","digitalSpecimenID","http://rs.tdwg.org/dwc/terms/digitalSpecimenID","Digital Specimen ID","デジタル標本識別子","Property","valid","","true"
"dwc","discipline","http://rs.tdwg.org/dwc/terms/discipline","Discipline","分野","Property","valid","","true"
"dwc","disposition","http://rs.tdwg.org/dwc/terms/disposition","Disposition","処分状態","Property","valid","","true"
"dwc","DwCType","http://rs.tdwg.org/dwc/terms/DwCType","Darwin Core Type","","http://purl.org/dc/dcam/VocabularyEncodingScheme","invalid","","false"
"dwc","dynamicProperties","http://rs.tdwg.org/dwc/terms/dynamicProperties","Dynamic Properties","動的追加属性","Property","valid","","true"
"dwc","earliestAgeOrLowestStage","http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage","Earliest Age Or Lowest Stage","最古年代または最下位階","Property","valid","","true"
"dwc","EarliestDateCollected","http://rs.tdwg.org/dwc/terms/EarliestDateCollected","Earliest Date Collected","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventDate","false"
"dwc","earliestEonOrLowestEonothem","http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem","Earliest Eon Or Lowest Eonothem","最古累代または最下位累界","Property","valid","","true"
"dwc","earliestEpochOrLowestSeries","http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries","Earliest Epoch Or Lowest Series","最古世または最下位統","Property","valid","","true"
"dwc","earliestEraOrLowestErathem","http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem","Earliest Era Or Lowest Erathem","最古代または最下位界","Property","valid","","true"
"dwc","earliestPeriodOrLowestSystem","http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem","Earliest Period Or Lowest System","最古紀または最下位系","Property","valid","","true"
"dwc","endDayOfYear","http://rs.tdwg.org/dwc/terms/endDayOfYear","End Day Of Year","年内終了日","Property","valid","","true"
"dwc","EndTimeOfDay","http://rs.tdwg.org/dwc/terms/EndTimeOfDay","End Time of Day","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventTime","false"
"dwc","establishmentMeans","http://rs.tdwg.org/dwc/terms/establishmentMeans","Establishment Means","定着手段","Property","valid","","true"
"dwc","Event","http://rs.tdwg.org/dwc/terms/Event","Event","イベント","Class","valid","","true"
"dwc","EventAttribute","http://rs.tdwg.org/dwc/terms/EventAttribute","Event Attribute","","Class","invalid","","false"
"dwc","EventAttributeAccuracy","http://rs.tdwg.org/dwc/terms/EventAttributeAccuracy","Event Attribute Accuracy","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy","false"
"dwc","EventAttributeDeterminedBy","http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedBy","Event Attribute Determined By","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy","false"
"dwc","EventAttributeDeterminedDate","http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedDate","Event Attribute Determined Date","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate","false"
"dwc","EventAttributeID","http://rs.tdwg.org/dwc/terms/EventAttributeID","Event Attribute ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventMeasurementID","false"
"dwc","EventAttributeRemarks","http://rs.tdwg.org/dwc/terms/EventAttributeRemarks","Event Attribute Remarks","","Property","invalid","","false"
"dwc","eventAttributes","http://rs.tdwg.org/dwc/terms/eventAttributes","Event Attributes","","Property","invalid","","false"
"dwc","EventAttributeType","http://rs.tdwg.org/dwc/terms/EventAttributeType","Event Attribute Type","","Property","invalid","http://rs.tdwg.org/dwc/terms/SamplingAttributeType","false"
"dwc","EventAttributeUnit","http://rs.tdwg.org/dwc/terms/EventAttributeUnit","Event Attribute Unit","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventMeasurementUnit","false"
"dwc","EventAttributeValue","http://rs.tdwg.org/dwc/terms/EventAttributeValue","Event Attribute","","Property","invalid","http://rs.tdwg.org/dwc/terms/eventMeasurementValue","false"
"dwc","eventCategory","http://rs.tdwg.org/dwc/terms/eventCategory","Event Category","イベント分類","Property","valid","","true"
"dwc","eventDate","http://rs.tdwg.org/dwc/terms/eventDate","Event Date","イベント日","Property","valid","","true"
"dwc","eventID","http://rs.tdwg.org/dwc/terms/eventID","Event ID","イベント識別子","Property","valid","","true"
"dwc","EventMeasurement","http://rs.tdwg.org/dwc/terms/EventMeasurement","Event Measurement","","Class","invalid","http://rs.tdwg.org/dwc/terms/MeasurementOrFact","false"
"dwc","eventMeasurementAccuracy","http://rs.tdwg.org/dwc/terms/eventMeasurementAccuracy","Event Measurement Accuracy","","Property","invalid","http://rs.tdwg.org/dwc/terms/measurementAccuracy","false"
"dwc","eventMeasurementDeterminedBy","http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedBy","Event Measurement Determined By","","Property","invalid","http://rs.tdwg.org/dwc/terms/measurementDeterminedBy","false"
"dwc","eventMeasurementDeterminedDate","http://rs.tdwg.org/dwc/terms/eventMeasurementDeterminedDate","Event Measurement Determined Date","","Property","invalid","http://rs.tdwg.org/dwc/terms/measurementDeterminedDate","false"
"dwc","eventMeasurementID","http://rs.tdwg.org/dwc/terms/eventMeasurementID","Event Measurement ID","","Property","invalid","http://rs.tdwg.org/dwc/terms/measurementID","false"
"dwc","eventMeasurementRemarks","http://rs.tdwg.org/dwc/terms/eventMeasurementRemarks","Event Measurement Remarks","","Property","invalid","http://rs.tdwg.org/dwc/terms/measurementRemarks","false"
"dwc","eventMeasurementType","http://rs.tdwg.org/dwc/terms/eventMeasurementType","Event Measurement Type","","Property","invalid","http://rs.tdwg.org/dwc/terms/measurementType","false"
